leg_id,start_ts,end_ts,start_price,end_price,start_structure,end_structure,start_type,end_type,leg_pattern,leg_direction,leg_return_pct,leg_bars,leg_duration_sec
0,2024-10-01 00:01:00+00:00,2024-10-01 00:59:00+00:00,68.32,68.33,HL,HH,low,high,HL->HH,uptrend,0.0146370023419217,56,3480.0
3,2024-10-01 01:34:00+00:00,2024-10-01 01:37:00+00:00,68.31,68.2,LH,LL,high,low,LH->LL,downtrend,-0.1610305958132052,3,180.0
7,2024-10-01 02:04:00+00:00,2024-10-01 02:09:00+00:00,68.3,68.21,LH,LL,high,low,LH->LL,downtrend,-0.1317715959004428,5,300.0
11,2024-10-01 02:32:00+00:00,2024-10-01 02:50:00+00:00,68.27,68.1,LH,LL,high,low,LH->LL,downtrend,-0.2490112787461584,18,1080.0
13,2024-10-01 02:51:00+00:00,2024-10-01 02:54:00+00:00,68.13,68.03,LH,LL,high,low,LH->LL,downtrend,-0.1467782181124199,3,180.0
15,2024-10-01 02:56:00+00:00,2024-10-01 03:00:00+00:00,68.11,67.92,LH,LL,high,low,LH->LL,downtrend,-0.2789605050653287,4,240.0
17,2024-10-01 03:01:00+00:00,2024-10-01 03:04:00+00:00,68.0,67.89,LH,LL,high,low,LH->LL,downtrend,-0.1617647058823501,3,180.0
19,2024-10-01 03:05:00+00:00,2024-10-01 03:12:00+00:00,67.98,67.68,LH,LL,high,low,LH->LL,downtrend,-0.4413062665489797,7,420.0
21,2024-10-01 03:13:00+00:00,2024-10-01 03:16:00+00:00,67.72,67.47,LH,LL,high,low,LH->LL,downtrend,-0.3691671588895495,3,180.0
23,2024-10-01 03:19:00+00:00,2024-10-01 03:20:00+00:00,67.59,67.43,LH,LL,high,low,LH->LL,downtrend,-0.2367214084923796,1,60.0
26,2024-10-01 03:23:00+00:00,2024-10-01 03:24:00+00:00,67.47,67.62,HL,HH,low,high,HL->HH,uptrend,0.2223210315696056,1,60.0
28,2024-10-01 03:26:00+00:00,2024-10-01 03:29:00+00:00,67.54,67.64,HL,HH,low,high,HL->HH,uptrend,0.1480604086467218,3,180.0
33,2024-10-01 03:37:00+00:00,2024-10-01 03:40:00+00:00,67.64,67.55,LH,LL,high,low,LH->LL,downtrend,-0.1330573625073938,3,180.0
37,2024-10-01 03:46:00+00:00,2024-10-01 03:49:00+00:00,67.71,67.61,LH,LL,high,low,LH->LL,downtrend,-0.1476886722788228,3,180.0
39,2024-10-01 03:50:00+00:00,2024-10-01 03:52:00+00:00,67.62,67.51,LH,LL,high,low,LH->LL,downtrend,-0.1626737651582388,2,120.0
41,2024-10-01 03:53:00+00:00,2024-10-01 03:55:00+00:00,67.52,67.5,LH,LL,high,low,LH->LL,downtrend,-0.0296208530805586,2,120.0
45,2024-10-01 04:00:00+00:00,2024-10-01 04:01:00+00:00,67.4,67.26,LH,LL,high,low,LH->LL,downtrend,-0.2077151335311611,1,60.0
47,2024-10-01 04:03:00+00:00,2024-10-01 04:05:00+00:00,67.36,67.15,LH,LL,high,low,LH->LL,downtrend,-0.3117577197149557,2,120.0
49,2024-10-01 04:06:00+00:00,2024-10-01 04:07:00+00:00,67.21,67.13,LH,LL,high,low,LH->LL,downtrend,-0.1190299062639455,1,60.0
53,2024-10-01 04:16:00+00:00,2024-10-01 04:17:00+00:00,67.16,67.1,LH,LL,high,low,LH->LL,downtrend,-0.0893388921977433,1,60.0
57,2024-10-01 04:21:00+00:00,2024-10-01 04:22:00+00:00,67.18,66.97,LH,LL,high,low,LH->LL,downtrend,-0.3125930336409732,1,60.0
59,2024-10-01 04:24:00+00:00,2024-10-01 04:25:00+00:00,67.07,66.97,LH,LL,high,low,LH->LL,downtrend,-0.1490979573579798,1,60.0
61,2024-10-01 04:28:00+00:00,2024-10-01 04:29:00+00:00,66.98,66.94,LH,LL,high,low,LH->LL,downtrend,-0.0597193191997691,1,60.0
66,2024-10-01 04:33:00+00:00,2024-10-01 04:34:00+00:00,66.74,66.81,HL,HH,low,high,HL->HH,uptrend,0.1048846269104064,1,60.0
68,2024-10-01 04:35:00+00:00,2024-10-01 04:36:00+00:00,66.78,66.86,HL,HH,low,high,HL->HH,uptrend,0.1197963462114426,1,60.0
71,2024-10-01 04:39:00+00:00,2024-10-01 04:40:00+00:00,66.73,66.57,LH,LL,high,low,LH->LL,downtrend,-0.2397722163944404,1,60.0
74,2024-10-01 04:42:00+00:00,2024-10-01 04:43:00+00:00,66.7,66.82,HL,HH,low,high,HL->HH,uptrend,0.1799100449775048,1,60.0
77,2024-10-01 04:45:00+00:00,2024-10-01 04:47:00+00:00,66.72,66.63,LH,LL,high,low,LH->LL,downtrend,-0.1348920863309399,2,120.0
81,2024-10-01 04:52:00+00:00,2024-10-01 04:53:00+00:00,66.7,66.61,LH,LL,high,low,LH->LL,downtrend,-0.1349325337331341,1,60.0
84,2024-10-01 04:57:00+00:00,2024-10-01 04:59:00+00:00,66.66,66.75,HL,HH,low,high,HL->HH,uptrend,0.1350135013501452,2,120.0
87,2024-10-01 05:01:00+00:00,2024-10-01 05:02:00+00:00,66.72,66.61,LH,LL,high,low,LH->LL,downtrend,-0.164868105515592,1,60.0
89,2024-10-01 05:03:00+00:00,2024-10-01 05:04:00+00:00,66.65,66.45,LH,LL,high,low,LH->LL,downtrend,-0.3000750187546974,1,60.0
93,2024-10-01 05:10:00+00:00,2024-10-01 05:11:00+00:00,66.46,66.39,LH,LL,high,low,LH->LL,downtrend,-0.1053265121877755,1,60.0
96,2024-10-01 05:14:00+00:00,2024-10-01 05:15:00+00:00,66.4,66.62,HL,HH,low,high,HL->HH,uptrend,0.3313253012048101,1,60.0
98,2024-10-01 05:16:00+00:00,2024-10-01 05:17:00+00:00,66.5,66.7,HL,HH,low,high,HL->HH,uptrend,0.3007518796992459,1,60.0
101,2024-10-01 05:25:00+00:00,2024-10-01 05:27:00+00:00,66.56,66.48,LH,LL,high,low,LH->LL,downtrend,-0.1201923076923017,2,120.0
104,2024-10-01 05:30:00+00:00,2024-10-01 05:34:00+00:00,66.61,66.94,HL,HH,low,high,HL->HH,uptrend,0.4954211079417403,4,240.0
106,2024-10-01 05:35:00+00:00,2024-10-01 05:36:00+00:00,66.92,67.03,HL,HH,low,high,HL->HH,uptrend,0.1643753735803832,1,60.0
109,2024-10-01 05:38:00+00:00,2024-10-01 05:40:00+00:00,66.92,66.82,LH,LL,high,low,LH->LL,downtrend,-0.1494321578003665,2,120.0
114,2024-10-01 05:46:00+00:00,2024-10-01 05:51:00+00:00,66.92,67.1,HL,HH,low,high,HL->HH,uptrend,0.2689778840406331,5,300.0
120,2024-10-01 06:00:00+00:00,2024-10-01 06:01:00+00:00,67.05,67.18,HL,HH,low,high,HL->HH,uptrend,0.1938851603281222,1,60.0
122,2024-10-01 06:02:00+00:00,2024-10-01 06:03:00+00:00,67.16,67.32,HL,HH,low,high,HL->HH,uptrend,0.2382370458606342,1,60.0
126,2024-10-01 06:08:00+00:00,2024-10-01 06:09:00+00:00,67.26,67.36,HL,HH,low,high,HL->HH,uptrend,0.1486767766874619,1,60.0
130,2024-10-01 06:13:00+00:00,2024-10-01 06:15:00+00:00,67.4,67.63,HL,HH,low,high,HL->HH,uptrend,0.3412462908011671,2,120.0
132,2024-10-01 06:16:00+00:00,2024-10-01 06:17:00+00:00,67.51,67.76,HL,HH,low,high,HL->HH,uptrend,0.3703155088135013,1,60.0
135,2024-10-01 06:20:00+00:00,2024-10-01 06:21:00+00:00,67.7,67.6,LH,LL,high,low,LH->LL,downtrend,-0.1477104874446189,1,60.0
137,2024-10-01 06:22:00+00:00,2024-10-01 06:25:00+00:00,67.62,67.57,LH,LL,high,low,LH->LL,downtrend,-0.0739426205264903,3,180.0
142,2024-10-01 06:32:00+00:00,2024-10-01 06:35:00+00:00,67.61,67.89,HL,HH,low,high,HL->HH,uptrend,0.4141399201301521,3,180.0
145,2024-10-01 06:38:00+00:00,2024-10-01 06:39:00+00:00,67.88,67.8,LH,LL,high,low,LH->LL,downtrend,-0.1178550383028831,1,60.0
149,2024-10-01 06:42:00+00:00,2024-10-01 06:46:00+00:00,67.87,67.73,LH,LL,high,low,LH->LL,downtrend,-0.206276705466335,4,240.0
151,2024-10-01 06:47:00+00:00,2024-10-01 06:48:00+00:00,67.79,67.68,LH,LL,high,low,LH->LL,downtrend,-0.1622658209175398,1,60.0
154,2024-10-01 06:53:00+00:00,2024-10-01 06:55:00+00:00,67.7,67.84,HL,HH,low,high,HL->HH,uptrend,0.206794682422462,2,120.0
156,2024-10-01 06:56:00+00:00,2024-10-01 06:57:00+00:00,67.77,67.89,HL,HH,low,high,HL->HH,uptrend,0.1770694997786703,1,60.0
158,2024-10-01 06:58:00+00:00,2024-10-01 07:09:00+00:00,67.8,67.99,HL,HH,low,high,HL->HH,uptrend,0.2802359882005945,11,660.0
161,2024-10-01 07:12:00+00:00,2024-10-01 07:16:00+00:00,67.83,67.71,LH,LL,high,low,LH->LL,downtrend,-0.1769128704113276,4,240.0
163,2024-10-01 07:17:00+00:00,2024-10-01 07:18:00+00:00,67.73,67.58,LH,LL,high,low,LH->LL,downtrend,-0.2214675919090636,1,60.0
167,2024-10-01 07:33:00+00:00,2024-10-01 07:38:00+00:00,67.74,67.62,LH,LL,high,low,LH->LL,downtrend,-0.177147918511944,5,300.0
169,2024-10-01 07:39:00+00:00,2024-10-01 07:45:00+00:00,67.68,67.54,LH,LL,high,low,LH->LL,downtrend,-0.2068557919621794,6,360.0
172,2024-10-01 07:50:00+00:00,2024-10-01 07:53:00+00:00,67.59,67.71,HL,HH,low,high,HL->HH,uptrend,0.1775410563692681,3,180.0
175,2024-10-01 07:59:00+00:00,2024-10-01 08:00:00+00:00,67.64,67.56,LH,LL,high,low,LH->LL,downtrend,-0.1182732111176809,1,60.0
