pivot_time,pivot_price,pivot_type,structure,leg_return_pct,leg_bars,leg_duration_sec
2024-10-01 00:01:00+00:00,68.32,low,HL,0.0,0,0.0
2024-10-01 00:59:00+00:00,68.33,high,HH,0.014637002341921779,56,3480.0
2024-10-01 01:08:00+00:00,68.22,low,LL,-0.16098346260793317,9,540.0
2024-10-01 01:34:00+00:00,68.31,high,LH,0.13192612137202797,26,1560.0
2024-10-01 01:37:00+00:00,68.2,low,LL,-0.16103059581320522,3,180.0
2024-10-01 01:52:00+00:00,68.32,high,HH,0.17595307917888103,15,900.0
2024-10-01 01:59:00+00:00,68.23,low,HL,-0.1317330210772627,7,420.0
2024-10-01 02:04:00+00:00,68.3,high,LH,0.10259416678879418,5,300.0
2024-10-01 02:09:00+00:00,68.21,low,LL,-0.13177159590044285,5,300.0
2024-10-01 02:15:00+00:00,68.32,high,HH,0.16126667644040804,6,360.0
2024-10-01 02:28:00+00:00,68.2,low,LL,-0.17564402810302804,13,780.0
2024-10-01 02:32:00+00:00,68.27,high,LH,0.10263929618767875,4,240.0
2024-10-01 02:50:00+00:00,68.1,low,LL,-0.24901127874615847,18,1080.0
2024-10-01 02:51:00+00:00,68.13,high,LH,0.04405286343611703,1,60.0
2024-10-01 02:54:00+00:00,68.03,low,LL,-0.14677821811241998,3,180.0
2024-10-01 02:56:00+00:00,68.11,high,LH,0.11759517859768476,2,120.0
2024-10-01 03:00:00+00:00,67.92,low,LL,-0.27896050506532877,4,240.0
2024-10-01 03:01:00+00:00,68.0,high,LH,0.11778563015312216,1,60.0
2024-10-01 03:04:00+00:00,67.89,low,LL,-0.16176470588235015,3,180.0
2024-10-01 03:05:00+00:00,67.98,high,LH,0.1325673884224443,1,60.0
2024-10-01 03:12:00+00:00,67.68,low,LL,-0.44130626654897975,7,420.0
2024-10-01 03:13:00+00:00,67.72,high,LH,0.059101654846327456,1,60.0
2024-10-01 03:16:00+00:00,67.47,low,LL,-0.36916715888954954,3,180.0
2024-10-01 03:19:00+00:00,67.59,high,LH,0.17785682525568447,3,180.0
2024-10-01 03:20:00+00:00,67.43,low,LL,-0.23672140849237966,1,60.0
2024-10-01 03:21:00+00:00,67.52,high,LH,0.1334717484798853,1,60.0
2024-10-01 03:23:00+00:00,67.47,low,HL,-0.07405213270141875,2,120.0
2024-10-01 03:24:00+00:00,67.62,high,HH,0.2223210315696056,1,60.0
2024-10-01 03:26:00+00:00,67.54,low,HL,-0.1183081928423535,2,120.0
2024-10-01 03:29:00+00:00,67.64,high,HH,0.14806040864672187,3,180.0
2024-10-01 03:32:00+00:00,67.53,low,LL,-0.16262566528680855,3,180.0
2024-10-01 03:34:00+00:00,67.65,high,HH,0.17769880053311038,2,120.0
2024-10-01 03:36:00+00:00,67.55,low,HL,-0.14781966001479185,2,120.0
2024-10-01 03:37:00+00:00,67.64,high,LH,0.13323464100667426,1,60.0
2024-10-01 03:40:00+00:00,67.55,low,LL,-0.13305736250739386,3,180.0
2024-10-01 03:44:00+00:00,67.71,high,HH,0.2368615840118382,4,240.0
2024-10-01 03:45:00+00:00,67.68,low,HL,-0.04430660168363021,1,60.0
2024-10-01 03:46:00+00:00,67.71,high,LH,0.04432624113472894,1,60.0
2024-10-01 03:49:00+00:00,67.61,low,LL,-0.14768867227882287,3,180.0
2024-10-01 03:50:00+00:00,67.62,high,LH,0.014790711433221304,1,60.0
